order_id,order_date,customer_id,customer_name,dob,gender,product,category,price,quantity,city,total_amount
1001,2024-01-10,C001,Ravi Kumar,1995-06-12,M,Mobile,Electronics,15000.0,1,Hyderabad,15000.0
1002,2024-01-11,C002,Sneha Reddy,1998-09-25,F,Laptop,Electronics,55000.0,1,Bangalore,55000.0
1003,2024-01-12,C003,Arjun Rao,,M,Headphones,Electronics,2000.0,2,Chennai,4000.0
1004,2024-01-12,C003,Arjun Rao,,M,Headphones,Electronics,2000.0,2,Chennai,4000.0
1005,2024-01-12,C004,Meena Das,1988-02-10,F,Chair,Furniture,3500.0,1,Kolkata,3500.0
1006,2024-01-14,C005,Karthik S,1992-11-05,M,Table,Furniture,12423.076923076924,1,Hyderabad,12423.076923076924
1007,2024-01-15,C006,Anjali Sharma,2000-03-18,F,Shoes,Fashion,2500.0,2,Delhi,5000.0
1008,2024-01-15,C007,Rohit Verma,1990-07-22,M,T-Shirt,Fashion,800.0,3,Mumbai,2400.0
1009,2024-01-16,C008,Pooja Nair,1996-01-30,F,Watch,Accessories,4200.0,1,Kochi,4200.0
1010,2024-01-17,C009,Amit Shah,1985-04-15,M,Sofa,Furniture,28000.0,1,Ahmedabad,28000.0
1011,2024-01-17,C010,Neha Jain,1999-12-05,F,Bag,Accessories,1800.0,2,Jaipur,3600.0
1012,2024-01-18,C011,Suresh Babu,1987-08-09,M,Refrigerator,Electronics,32000.0,1,Vijayawada,32000.0
1013,2024-01-18,C012,Divya Singh,,F,Heels,Fashion,2700.0,1,Lucknow,2700.0
1014,2024-01-19,C013,Manoj Patil,1993-03-22,M,Microwave,Electronics,12000.0,1,Pune,12000.0
1015,2024-01-19,C014,Kavya Rao,2001-07-11,F,Earrings,Accessories,12423.076923076924,2,Hyderabad,24846.153846153848
